SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S41,29503122619,1,최고에요 화장 마무리도 이 팩트 톡톡 해주면 보송보송 맑은 피부 되서 넘 좋아요,일단 건조한 피부인데 뜨지않고 유분기 잘 잡아줘서 피부 넘 좋아보이고 팩트로 보송 하게 잡아주니까 마스크에 묻어남도 확실히 적어요,지성인으로써 파우더팩트 안써본건 아니지만 금방 기름이 나오기 때문에 무너짐이 더러워 포기했었는데요,기름도 잘 잡히는 편인데 마스크 오래 쓰고 있으면군데 군데 좀 뭉치기는 하네요,원래 매트한 마무리를 좋아해서 이글립스때부터 바비팩트까지 꾸준히 사용하던 제품이에요,,,,,
N,P09,S22,21436527732,0,저렴하게,촉촉하고,좋습니다,발림성,있어요,7.96,6.0,5.89,5.74,4.52
N,P09,S22,21436527732,1,잘 사용하고 있습니다,매번 쓰는제품이에요,아주만족합니다,좋은 가격에 잘 구매했습니다,아주좋아요,,,,,
N,P05,S04,20849819189,0,색상,발색,들어요,예뻐요,색이,8.3,6.06,6.02,5.56,4.69
N,P05,S04,20849819189,1,선물포장도 잘 해주셨고 샘플도 다 맘에 드는데 한가지 아쉬운 점이 화장품 온라인이던 오프라인이던 개봉후 환불 금지 라는 씰이 있는데 그게 없어서 살짝 찝찝해서 문의글 남겼다가 그래도 사용한 흔적은 딱히 없어서 그냥 사용하려고 지웟는데 그부분은 조금 아쉬웠습니다,색상 너무이뻐요 항상 현대몰에서 구매합니당빠른배송 감사해요,선물했는데 색깔이쁘고 좋다고 하네요,포장도 잘 되어서 도착했네요,톤다운 핑크이고 부드러운 느낌에 색상이 이뻐요,,,,,
N,P12,S03,27174937526,0,향도,머릿결이,미용실에서,감사합니다,만족합니다,5.43,4.66,4.58,4.56,4.52
N,P12,S03,27174937526,1,이것만씁니다,냄새도좋고 머리결도좋아져요,미용실 냄새나요,다른 질감이긴한데 그래도 겁내크고 언제 다쓸려나 하면서도 한편으론 맘이 편하네요,컨디셔너 좋네요,,,,,
N,P07,S01,22345882670,0,애터미,비비,만족합니다,커버,가격대비,4.76,3.78,2.73,2.46,2.12
N,P07,S01,22345882670,1,엄마가 매번 쓰는 거에요,커버도 잘 돼요,밝고 밀착력은 좋습니다,어머니가 주문해달라고해서 주문했는데 좋아하시네요,좋아요,,,,,
N,P12,S32,5765532401,0,향도,저렴하게,컬이,미용실에서,만족,8.52,8.51,8.03,6.39,6.22
N,P12,S32,5765532401,1,간단하게 출근전에 머리만지고 가기 좋습니다,쓰던 제품이라 재주문했습니다,가성비좋네요,컬이 잘 살아요,재구매입니다,,,,,
N,P05,S04,13683287065,0,입술,들어요,바르면,좋습니다,품질이,5.23,5.15,3.41,3.02,2.79
N,P05,S04,13683287065,1,항상쓰고있는상품이에요,재구매의사는 없음,좋아요,또 플러핑효과는 별로 화한느낌이 나는데 그리 불편할정도는 아니예요단독으로 바르기엔 색상이 연한편이예요배송빠르고 종이 포장으로 꼼꼼하게 보내주셨네요,너무 마음에 들어요,,,,,
N,P07,S42,23299509490,0,마스크에,커버,매트,만족,리필,15.49,12.07,7.78,7.46,7.26
N,P07,S42,23299509490,1,이제품이 출시하고 난 뒤 부턴 이것만 써요,재구매템이에요,쓰던거 라이브 할인해서 주문했어요,항상사용하는제품입니다,싸게 잘 산 것 같아요,,,,,
N,P10,S02,81505956270,0,촉촉,피부가,향도,향이,바르고,15.44,11.11,9.64,8.32,8.17
N,P10,S02,81505956270,1,아침에 일어나면 촉촉해요,촉촉합니다,피부타입에 따라 차이는 있겠지만 며칠 써본결과 만족합니다,촉촉함 부드럽고 흡수도 잘 되는듯 합니다,저는기미주근깨가많은편인데 인별에서 좋다는거보고 사봤습니다,,,,,
N,P07,S01,13829495628,0,가볍게,만족,저렴하게,바닐라코,톤업,5.85,5.73,5.66,5.05,4.31
