SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,8861244331,1,와이프가 쓰는건데 좋다고 합니다,잔 펴지고 뭉치지 않아요,저희언니도 영업 당해서 지금 사용중이에요,화사하고 발림성이 좋아요,맘에 들어요,,,,,
N,P06,S28,83485940089,0,웜톤,팔레트,색이,발색,레오제이,14.58,12.44,11.93,10.36,10.05
N,P06,S28,83485940089,1,웜톤이라고 늘 진한 붉은기만 쓸수 있는거 아니다너무 여리여리 이쁘고 저도 이제 청순 메컵 도전해보려구요,맑게 발색되어요,너무 좋아요,제가 찍은 사진보다는 색감이 연해요,웜톤 취향저격입니다,,,,,
N,P08,S35,28759260557,0,시원,좋습니다,만족,재구매,쿨링,14.72,10.74,7.32,5.82,3.17
N,P08,S35,28759260557,1,효과도 좋고 냄새도 좋네요,접한 청결제가 포블랑시 였는데 다시돌아오게되네요가격은있지만 그만큼 청량감과 성분도 좋고쓰고나면 깨끗하게 가꿀수 있어 더좋아요,시원하고 개운합니다,군대라 사진은 안되지만 후기 남기자면 아잉이만 혹한기 훈련받는 느낌에 냄새도 좋았어용,저번에 남자친구가 사용해보더니 좋다구 해서 이번에 선물해줬어요,,,,,
N,P07,S15,23389838493,0,발색,예뻐요,색이,색상,생각보다,9.98,8.67,6.5,5.83,4.12
N,P07,S15,23389838493,1,만족합니다,너무 밝지도 않고 맑게 올라와서 너무 만족스럽습니다신상고 나왔던데 지름신이 마구마구큰일 어욮,그렇다고 발색력이 약하다는 건 아니고 오히려 발색력이 좋아서 조절이 조금 필요한 것 같아요,섀도우도 펄이 큰데 날리지 않고 고정되어서 유지도 잘 되는 편입니다,만족해요,,,,,
N,P02,S25,11234530489,0,향도,저렴하게,향이,만족,아빠가,8.71,7.11,5.84,5.6,5.39
N,P02,S25,11234530489,1,향이 너무 강하지 않아서 괜찮아요,항상사용하는 제품입니다,상품은 저렴하게 잘 산거 같아요,배송빨라요,싸게 잘 산것 같아 좋아요,,,,,
N,P10,S31,24462314522,0,효과,주름,목주름,촉촉,실처럼,14.95,7.94,7.17,7.01,5.76
N,P10,S31,24462314522,1,좋아요,효과가 좋았으면 좋겠네요,아직 잘모르겠지만 꾸준히 써봐야 알것같아요,그래도 관리한다고 푸석푸석한 느낌은 없어서 좋습니다,2통짼데 바를땐 몰랐는데 1통 다바르고나서 까먹고있다가 언뜻 거울봤는데 이상해서 살펴보니까 깊은목주름이 조금 채워져서 연해졌더라구요,,,,,
N,P07,S01,13766859092,0,비비,커버력,오르자드,만족,좋습니다,10.23,7.35,6.04,6.0,5.1
N,P07,S01,13766859092,1,너무 잘쓰고 있어요,바르면 쫀득쫀득하고 커버도 좋아서 안쓸수가없다는,몇년동안 해쉬만 사용하는데 만족하고 있어요,감사합니다,추천받고 샀어요,,,,,
N,P07,S01,12413438381,0,비비,촉촉,커버력은,발림성,만족,6.73,6.39,5.05,3.56,2.97
N,P07,S01,12413438381,1,촉촉하고 커버력은 많지않지망 피부 좋아보여요 양이적은게아쉽,악건성피부에 최고템입니다,심수련비비라고 하니 역시 라는 생각이 들었습니다,밀착력은 그다지지만 답답하지 않아서 전 더 좋아요,마스크에 묻어나지 않고 얇게 발리고 티안나고 요건 무조건 재구매각이에요,,,,,
N,P07,S01,9317693217,0,반트,촉촉,커버,가볍게,자연스럽게,5.16,5.09,4.37,3.98,2.89
N,P07,S01,9317693217,1,제품은 매번 사용하던 제품으로 제겐 매우 만족스러운 제품이구요,최근에 한 5가지 제품을 돌고돌아 다시 반트로 돌아왔네요,추천해서 써봤는데 괜찮아요,근데 웬걸 써보니 생각보다 묻어나지도 않고 얇고 가볍게 발리는게 딱 제가 찾던 거네요,촉촉해서 유분기있으신 분들은 더 유분기가 생기기때무에 감안하셔야합니다,,,,,
N,P07,S01,14239004785,0,커버력,비비,만족,좋습니다,발림성,10.4,9.17,5.39,4.85,4.75
N,P07,S01,14239004785,1,평소 피부가 민감한데도 불구하고 전혀 뜨거나 올라오는 것 없이 밀착력도 좋고 지속력도 오래 가서 이 제품만 몇통째 쓰고있어요,촉촉합니다,발색도 너무 좋고 자극도 없는너무 좋아요,초보양이랑 비슷한데 초보양 보다도 단독으로쓰긴 좋아요,병원에서만 구매가능한줄 알았는데인터넷 구매 가능해서 좋았습니다,,,,,
N,P05,S06,21635899953,0,촉촉,색도,색상,입술,색이,7.66,6.22,6.14,5.58,5.42
