RVD-211116-0152628,27790718522,02,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.657,2021-12-02 02:01:17.657
RVD-211116-0152629,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.677,2021-12-02 02:01:17.677
RVD-211116-0152630,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.697,2021-12-02 02:01:17.697
RVD-211116-0152631,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.710,2021-12-02 02:01:17.710
RVD-211116-0152632,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.727,2021-12-02 02:01:17.727
RVD-211116-0152633,27790718522,03,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.747,2021-12-02 02:01:17.747
RVD-211116-0152634,27790718522,02,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.763,2021-12-02 02:01:17.763
RVD-211116-0152635,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.783,2021-12-02 02:01:17.783
RVD-211116-0152636,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.810,2021-12-02 02:01:17.810
RVD-211116-0152637,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.833,2021-12-02 02:01:17.833
RVD-211116-0152638,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.857,2021-12-02 02:01:17.857
RVD-211116-0152639,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.887,2021-12-02 02:01:17.887
RVD-211116-0152640,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.903,2021-12-02 02:01:17.903
RVD-211116-0152641,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.927,2021-12-02 02:01:17.927
RVD-211116-0152642,27790718522,13,싫음,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.950,2021-12-02 02:01:17.950
RVD-211116-0152643,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.970,2021-12-02 02:01:17.970
RVD-211116-0152644,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.990,2021-12-02 02:01:17.990
RVD-211116-0152645,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.017,2021-12-02 02:01:18.017
RVD-211116-0152646,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.040,2021-12-02 02:01:18.040
RVD-211116-0152647,27790718522,13,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.063,2021-12-02 02:01:18.063
RVD-211116-0152648,27790718522,03,싫음,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.090,2021-12-02 02:01:18.090
RVD-211116-0152649,27790718522,13,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.107,2021-12-02 02:01:18.107
RVD-211116-0152650,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.123,2021-12-02 02:01:18.123
RVD-211116-0152651,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.140,2021-12-02 02:01:18.140
RVD-211116-0152652,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.160,2021-12-02 02:01:18.160
RVD-211116-0152653,27790718522,12,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.180,2021-12-02 02:01:18.180
RVD-211116-0152654,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.200,2021-12-02 02:01:18.200
RVD-211116-0152655,27790718522,13,싫음,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.237,2021-12-02 02:01:18.237
RVD-211116-0152656,27790718522,13,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.253,2021-12-02 02:01:18.253
RVD-211116-0152657,27790718522,13,불안,2,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.267,2021-12-02 02:01:18.267
RVD-211116-0152658,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.290,2021-12-02 02:01:18.290
RVD-211116-0152659,27790718522,02,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.317,2021-12-02 02:01:18.317
RVD-211116-0152660,27790718522,12,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.343,2021-12-02 02:01:18.343
RVD-211116-0152661,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.370,2021-12-02 02:01:18.370
RVD-211116-0152662,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.397,2021-12-02 02:01:18.397
RVD-211116-0152663,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.413,2021-12-02 02:01:18.413
RVD-211116-0152664,27790718522,13,기쁨,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.433,2021-12-02 02:01:18.433
RVD-211116-0152665,27790718522,08,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.450,2021-12-02 02:01:18.450
RVD-211116-0152666,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.467,2021-12-02 02:01:18.467
RVD-211116-0152667,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.490,2021-12-02 02:01:18.490
RVD-211116-0152668,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.513,2021-12-02 02:01:18.513
RVD-211116-0152669,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.527,2021-12-02 02:01:18.527
RVD-211116-0152670,27790718522,13,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.543,2021-12-02 02:01:18.543
RVD-211116-0152671,27790718522,13,슬픔,2,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.563,2021-12-02 02:01:18.563
RVD-211116-0152672,27790718522,02,기쁨,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.580,2021-12-02 02:01:18.580
RVD-211116-0152673,27790718522,13,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.603,2021-12-02 02:01:18.603
RVD-211116-0152674,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.617,2021-12-02 02:01:18.617
RVD-211116-0152675,27790718522,13,고마움,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.650,2021-12-02 02:01:18.650
RVD-211116-0152676,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.687,2021-12-02 02:01:18.687
RVD-211116-0152677,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.720,2021-12-02 02:01:18.720
RVD-211116-0152678,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.743,2021-12-02 02:01:18.743
RVD-211116-0152679,27790718522,13,싫음,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.767,2021-12-02 02:01:18.767
RVD-211116-0152680,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.800,2021-12-02 02:01:18.800
RVD-211116-0152681,27790718522,12,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.820,2021-12-02 02:01:18.820
RVD-211116-0152682,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.840,2021-12-02 02:01:18.840
RVD-211116-0152683,27790718522,13,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.867,2021-12-02 02:01:18.867
RVD-211116-0152684,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.880,2021-12-02 02:01:18.880
RVD-211116-0152685,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.903,2021-12-02 02:01:18.903
RVD-211116-0152686,27790718522,13,감동,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.920,2021-12-02 02:01:18.920
RVD-211116-0152687,27790718522,02,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.937,2021-12-02 02:01:18.937
RVD-211116-0152688,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.953,2021-12-02 02:01:18.953
RVD-211116-0152689,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.970,2021-12-02 02:01:18.970
RVD-211116-0152690,27790718522,08,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:18.983,2021-12-02 02:01:18.983
RVD-211116-0152691,27790718522,13,실망,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:19.000,2021-12-02 02:01:19.000
RVD-211116-0152692,27790718522,13,자신감,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:19.013,2021-12-02 02:01:19.013
RVD-211116-0152693,27790718522,13,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:19.030,2021-12-02 02:01:19.030
RVD-211116-0152694,27790718522,03,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:19.047,2021-12-02 02:01:19.047
RVD-211116-0152695,27790718522,13,안타까움,2,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:19.070,2021-12-02 02:01:19.070
